faction,ability_id,name,flags,text
"aeldari","raid-and-run","Raid and Run","","If during the fight phase: /   -> unit can fall back and act / Scope: unit. Duration: permanent."
"aeldari","rapid-embarkation","Rapid Embarkation","","If during the fight phase: /   -> self gains special embark rule / Scope: aura 6. Duration: permanent."
"aeldari","reaver-band","Reaver Band","","unit gains reactive move / Scope: aura 9. Duration: permanent."
"aeldari","reavers-of-the-void","Reavers of the Void","","re-roll hit rolls (ones) for unit / Scope: unit. Duration: permanent."
"aeldari","reborn-mastermind","Reborn Mastermind","","refund 1 CP / Scope: unit. Duration: one use."
"aeldari","reckless-abandon","Reckless Abandon","placeholder","refund ? CP / Scope: unit. Duration: permanent."
"aeldari","revenant-jet-pack","Revenant Jet Pack","","+8 M for unit / Scope: unit. Duration: phase."
"aeldari","runes-of-battle-psychic","Runes of Battle (Psychic)","","unit's weapons gain Ignores Cover / Scope: unit. Duration: permanent."
"aeldari","runes-of-fortune-psychic","Runes of Fortune (Psychic)","","If the unit charged this turn: /   -> -2 to charge rolls for attacker / Scope: self. Duration: battle round."
"aeldari","sadistic-raiders","Sadistic Raiders","placeholder","modify OC of unit by ? / Scope: unit. Duration: permanent."
"aeldari","scattershield","Scattershield","placeholder","reduce incoming damage to unit by ? / Scope: unit. Duration: permanent."
"aeldari","scouts-7","Scouts 7""","","unit gains scouts 7"" / Scope: unit. Duration: one use."
"aeldari","scouts-9","Scouts 9""","","unit gains scouts 9"" / Scope: unit. Duration: one use."
"aeldari","serpent-shield","Serpent shield","","self gains a 5+ invulnerable save / Scope: unit. Duration: permanent."
"aeldari","servant-of-the-whispering-god","Servant of The Whispering God","","self gains army composition constraint / Scope: self. Duration: permanent."
"aeldari","shadow-field","Shadow Field","","self gains a 4+ invulnerable save / Scope: unit. Duration: permanent."
"aeldari","shadowfall-masks","Shadowfall Masks","","modify stats for unit / Scope: unit. Duration: permanent."
"aeldari","shimmershield","Shimmershield","","self gains a 4+ invulnerable save / Scope: unit. Duration: permanent."
"aeldari","skyfire","Skyfire","","unit gains reactive move / Scope: aura custom (24""). Duration: permanent."
"aeldari","skyhunter","Skyhunter","","If during the shooting phase and the target has ""A"": /   -> +1 to hit rolls for unit /   -> +1 to wound rolls for unit / Scope: unit. Duration: permanent."
"aeldari","skyleap","Skyleap","","unit gains redeploy to reserves / Scope: unit. Duration: permanent."
"aeldari","sonic-destruction","Sonic Destruction","","If during the shooting phase: /   -> +-1 AP for unit / Scope: unit. Duration: permanent."
"aeldari","spirit-mark","Spirit Mark","","unit's weapons gain Sustained Hits 1 / Scope: aura 6. Duration: permanent."
"aeldari","spiritseer","Spiritseer","","self gains lone operative / Scope: aura 6. Duration: permanent."
"aeldari","stealth","Stealth","","-1 to hit rolls for attacker / Scope: unit. Duration: permanent."
"aeldari","storm-of-blades","Storm of Blades","","If attached to a unit: /   -> unit's weapons gain Sustained Hits 1 / Scope: unit. Duration: permanent."
"aeldari","storm-of-silence","Storm of Silence","","If the target has ""CHARACTER"": /   -> re-roll wound rolls (all failures) for unit / Scope: unit. Duration: permanent."
"aeldari","stormblades","Stormblades","placeholder","modify OC of unit by ? / Scope: unit. Duration: permanent."
"aeldari","strafing-run","Strafing Run","","If during the shooting phase and the target has ""A"": /   -> +1 to hit rolls for unit / Scope: unit. Duration: permanent."
"aeldari","structural-collapse","Structural Collapse","","If the target has ""TITANIC"": /   -> re-roll damage rolls (all failures) for unit / Scope: unit. Duration: permanent."
"aeldari","superlative-strategist","Superlative Strategist","","If the model is leading a unit: /   -> re-roll advance rolls (all failures) for unit /   If at agile manoeuvre: /     -> re-roll any rolls (all failures) for unit / Scope: unit. Duration: turn."
"aeldari","support-artillery","Support Artillery","","unit gains forced attachment / Scope: unit. Duration: permanent."
"aeldari","support-weapon","Support Weapon","","set T to 3 for self / Scope: unit. Duration: permanent."
"aeldari","swift-demise","Swift Demise","","If during the shooting phase: /   -> re-roll hit rolls (ones) for unit / Scope: unit. Duration: permanent."
"aeldari","tactical-acumen","Tactical Acumen","","If during the shooting phase and attached to a unit: /   -> unit gains shoot and scoot / Scope: unit. Duration: turn."
"aeldari","target-acquisition","Target Acquisition","","If during the shooting phase: /   -> unit gains benefit of cover / Scope: unit. Duration: phase."
"aeldari","tears-of-isha-psychic","Tears of Isha (Psychic)","paren_plural","return d3 model(s) to self with full wounds / Scope: aura 6. Duration: permanent."
"aeldari","the-bloody-handed-aura","The Bloody-Handed (Aura)","","+1 to charge rolls for friendly within aura / Scope: aura 6. Duration: permanent."
"aeldari","the-path-least-travelled","The Path Least Travelled","","If at post deployment: /   If the unit has ""Rangers"" or the unit has ""Shroud Runners"": /     -> unit gains redeploy to strategic reserves / Scope: unit. Duration: permanent."
"aeldari","titan-hunter","Titan Hunter","","If during the shooting phase: /   -> re-roll damage rolls (all failures) for unit / Scope: unit. Duration: permanent."
"aeldari","titanic-advance","Titanic Advance","","self gains move over terrain / Scope: unit. Duration: permanent."
"aeldari","titanic-agility","Titanic Agility","","self gains through models and terrain / self gains within engagement range no end position / Scope: self. Duration: permanent."
"aeldari","titanic-strides","Titanic Strides","","self gains through non titanic models and terrain up to 4 / self gains within engagement range no end position / If at after move through terrain over 4 inches: /   -> Roll D6: on exactly 1, self gains inflict battle shock / Scope: self. Duration: permanent."
"aeldari","tormentors","Tormentors","","If during the fight phase: /   -> force a battle shock test on enemy within aura / Scope: unit. Duration: permanent."
"aeldari","towering-wraith-construct","Towering Wraith Construct","placeholder","If at stratagem targets self: /   -> spend ? from ? / Scope: self. Duration: battle."
"aeldari","travelling-players","Travelling Players","","self: army composition rule / Scope: unit. Duration: permanent."
"aeldari","treacherous-illusion-psychic","Treacherous Illusion (Psychic)","","unit's weapons gain hazardous / Scope: unit. Duration: permanent."
"aeldari","unquenchable-resolve","Unquenchable Resolve","paren_plural","return 1 model(s) to self with full wounds / Scope: unit. Duration: permanent."
"aeldari","war-construct","War Construct","","unit can fall back and act / Scope: unit. Duration: permanent."
"aeldari","wave-serpent-shield","Wave Serpent Shield","","If during the shooting phase: /   -> -1 to wound rolls for attacker / Scope: unit. Duration: permanent."
"aeldari","way-of-the-blade","Way of the Blade","","If attached to a unit: /   -> unit fights first / Scope: unit. Duration: permanent."
"aeldari","way-of-the-shaper-psychic","Way of the Shaper (Psychic)","","If attached to a unit: /   -> unit gains Feel No Pain 6+ / Scope: unit. Duration: permanent."
"aeldari","whirling-death","Whirling Death","","If attached to a unit: /   -> unit gains ignore vertical / Scope: unit. Duration: phase."
"aeldari","whispering-web","Whispering Web","","If during the shooting phase: /   -> defender gains post attack debuff / Scope: unit. Duration: turn."
"aeldari","word-of-the-phoenix-psychic","Word of the Phoenix (Psychic)","paren_plural","If the model is leading a unit and during the command phase and in either player's turn: /   -> Roll D6: on 2+, return D3+1 model(s) to attached unit with full wounds / Scope: unit. Duration: permanent."
"aeldari","yvraine-s-champion","Yvraine’s Champion","","If attached to a unit: /   -> unit gains Feel No Pain 4+ / Scope: unit. Duration: permanent."
"agents-of-the-imperium","abomination","Abomination","","unit gains Feel No Pain 2+ / Scope: unit. Duration: permanent."
"agents-of-the-imperium","acrobatic-escape","Acrobatic Escape","","If during the fight phase: /   -> unit can fall back and act / Scope: aura 6. Duration: permanent."
"agents-of-the-imperium","ancient-s-banner","Ancient’s Banner","","+1 OC for unit / Scope: unit. Duration: permanent."
"agents-of-the-imperium","arbites-medi-kit","Arbites Medi-kit","paren_plural","If the unit is below starting strength: /   -> return d3 model(s) to unit with full wounds / Scope: unit. Duration: permanent."
"agents-of-the-imperium","assigned-agents","Assigned Agents","","self gains faction metadata / Scope: unit. Duration: permanent."
"agents-of-the-imperium","astartes-shield","Astartes shield","","self gains a 4+ invulnerable save / Scope: unit. Duration: permanent."
"agents-of-the-imperium","attached-unit","Attached Unit","","If attached to a unit: /   -> unit gains attached unit eligibility / Scope: unit. Duration: permanent."
"agents-of-the-imperium","atttached-unit","Atttached Unit","","If attached to a unit: /   -> unit gains attached unit eligibility / Scope: unit. Duration: permanent."
"agents-of-the-imperium","auspex-array","Auspex Array","","unit's weapons gain Ignores Cover / Scope: unit. Duration: permanent."
"agents-of-the-imperium","authority-of-the-inquisition","Authority of the Inquisition","","If attached to a unit: /   -> self gains special embark rule / Scope: unit. Duration: permanent."
"agents-of-the-imperium","backroom-deals","Backroom Deals","","modify stats for unit / Scope: unit. Duration: permanent."
"agents-of-the-imperium","blackstar-cluster-launcher","Blackstar Cluster Launcher","","deal 1 mortal wounds to defender / Scope: unit. Duration: permanent."
"agents-of-the-imperium","blessed-wardings","Blessed Wardings","","If attached to a unit: /   -> self gains a 6+ invulnerable save / Scope: unit. Duration: permanent."
"agents-of-the-imperium","breaching-team","Breaching Team","","re-roll wound rolls (ones) for unit / Scope: unit. Duration: permanent."
"agents-of-the-imperium","cat-unit","CAT Unit","","unit's weapons gain Ignores Cover / Scope: unit. Duration: phase."
"agents-of-the-imperium","cherub","Cherub","placeholder","gain ? CP / Scope: unit. Duration: one use."
"agents-of-the-imperium","dead-shot","Dead‐shot","","If for ranged attacks: /   -> self gains ignores lone operative / Scope: self. Duration: phase."
"agents-of-the-imperium","deadly-demise-d3","Deadly Demise D3","","Roll D6: on 6+, deal D3 mortal wounds to enemy within aura (within 6"") / Scope: aura 6. Duration: one use."
"agents-of-the-imperium","deadly-demise-d6","Deadly Demise D6","","Roll D6: on 6+, deal D6 mortal wounds to enemy within aura (within 6"") / Scope: aura 6. Duration: one use."
"agents-of-the-imperium","death-to-the-alien","Death to the Alien","","re-roll hit rolls (ones) for unit / Scope: unit. Duration: permanent."
"agents-of-the-imperium","dedication-to-duty","Dedication to Duty","","If during the fight phase: /   -> self fights on death / Scope: unit. Duration: permanent."
"agents-of-the-imperium","deep-strike","Deep Strike","","unit can deep strike / Scope: unit. Duration: permanent."
"agents-of-the-imperium","defenders-of-the-faith","Defenders of the Faith","placeholder","modify OC of unit by ? / Scope: unit. Duration: permanent."
"agents-of-the-imperium","endurant-shield","Endurant Shield","","self gains a 4+ invulnerable save / Scope: unit. Duration: permanent."
"agents-of-the-imperium","etheric-emergence","Etheric Emergence","","If during the movement phase and the unit has ""Deep Strike"": /   -> Choose one (etheric-emergence): /     1. self can deep strike; self gains charge ineligible /     2. self can deep strike / Scope: self. Duration: turn."
"agents-of-the-imperium","evade-and-survive","Evade and Survive","","unit gains reactive move / Scope: aura 9. Duration: permanent."
"agents-of-the-imperium","feel-no-pain-6","Feel No Pain 6+","","unit gains Feel No Pain 6+ / Scope: unit. Duration: permanent."
"agents-of-the-imperium","fights-first","Fights First","","unit fights first / Scope: unit. Duration: permanent."
"agents-of-the-imperium","firing-deck-2","Firing Deck 2","","unit gains firing deck (2) / Scope: self. Duration: permanent."
"agents-of-the-imperium","frenzon","Frenzon","","If the unit advanced this turn: /   -> self gains action eligibility / Scope: self. Duration: turn."
"agents-of-the-imperium","gaze-into-the-empyrean-psychic","Gaze into the Empyrean  (Psychic)","","enemy within aura: reinforcement denial (within 12"") / Scope: aura 12. Duration: permanent."
"agents-of-the-imperium","gaze-into-the-immaterium-psychic","Gaze into the Immaterium (Psychic)","","enemy within aura: reinforcement denial (within 12"") / Scope: aura 12. Duration: permanent."
"agents-of-the-imperium","gheistskull","Gheistskull","","unit gains once per battle special / Scope: aura custom (18""). Duration: one use."
"agents-of-the-imperium","glovodan-psyber-eagle","Glovodan Psyber‐eagle","","unit gains benefit of cover / Scope: aura custom (18""). Duration: until next command phase."
"agents-of-the-imperium","grim-spectres","Grim Spectres","","If during the shooting phase: /   -> force a battle shock test on enemy within aura / Scope: unit. Duration: permanent."
"agents-of-the-imperium","hammerhand-psychic","Hammerhand (Psychic)","","unit's weapons gain Lethal Hits / Scope: unit. Duration: turn."
"agents-of-the-imperium","healing-serum","Healing serum","paren_plural","If the unit is below starting strength: /   -> return d3 model(s) to unit with full wounds / Scope: unit. Duration: permanent."
"agents-of-the-imperium","holy-hatred","Holy Hatred","","If attached to a unit: /   -> unit's weapons gain Sustained Hits 1 / Scope: unit. Duration: permanent."
"agents-of-the-imperium","holy-mission","Holy Mission","","If attached to a unit: /   -> unit gains attached unit eligibility / Scope: unit. Duration: permanent."
"agents-of-the-imperium","holy-piety","Holy Piety","","If during the fight phase: /   -> re-roll hit rolls (all failures) for unit / Scope: unit. Duration: permanent."
"agents-of-the-imperium","hover","Hover","","set M to 20 for self / Scope: self. Duration: permanent."
"agents-of-the-imperium","imperial-law","Imperial Law","","unit's weapons gain Lethal Hits / unit's weapons gain Precision / Scope: unit. Duration: permanent."
"agents-of-the-imperium","incensor-cherub","Incensor Cherub","placeholder","refund ? CP / Scope: unit. Duration: one use."
"agents-of-the-imperium","infernum-halo-launcher","Infernum Halo-launcher","","self's weapons gain Smoke / Scope: unit. Duration: permanent."
"agents-of-the-imperium","infiltrators","Infiltrators","","unit gains infiltrate / Scope: unit. Duration: one use."
"agents-of-the-imperium","inquisitorial-henchmen","Inquisitorial Henchmen","","self gains army list allowance one inquisitorial agents unit per inquisitor / Scope: self. Duration: permanent."
"agents-of-the-imperium","kill-team","Kill Team","","self gains special embark rule / Scope: unit. Duration: permanent."
"agents-of-the-imperium","leader","Leader","","unit gains leader / Scope: attached. Duration: permanent."
"agents-of-the-imperium","lone-operative","Lone Operative","","self: cannot be targeted unless closest or within 12 / Scope: self. Duration: permanent."
"agents-of-the-imperium","lord-of-deceit-aura","Lord of Deceit (Aura)","","If the target has ""A"": /   -> gain 1 CP / Scope: aura 12. Duration: permanent."
"agents-of-the-imperium","loyal-henchmen","Loyal Henchmen","","If attached to a unit: /   -> -1 to wound rolls for attacker / Scope: unit. Duration: permanent."
"agents-of-the-imperium","malefic-wardings-psychic","Malefic Wardings (Psychic)","","If attached to a unit: /   -> unit gains a 4+ invulnerable save / Scope: unit. Duration: permanent."
"agents-of-the-imperium","masters-of-close-confines","Masters of Close Confines","","If during the shooting phase: /   -> unit's weapons gain Lethal Hits / Scope: unit. Duration: permanent."
"agents-of-the-imperium","merciless-judgement","Merciless Judgement","","If during the shooting phase and the unit is below half strength and the target has ""A"": /   -> +1 to wound rolls for unit / Scope: unit. Duration: permanent."
"agents-of-the-imperium","ministorum-sermon","Ministorum Sermon","","unit's weapons gain Sustained Hits 1 / Scope: unit. Duration: permanent."
"agents-of-the-imperium","narthecium","Narthecium","paren_plural","return 1 model(s) to unit with full wounds / Scope: unit. Duration: permanent."
"agents-of-the-imperium","navy-bodyguard","Navy Bodyguard","","self gains army list allowance one voidsmen at arms unit per voidfarers character / Scope: self. Duration: permanent."
"agents-of-the-imperium","no-mercy","No Mercy","","If the unit is below half strength and attached to a unit and the target has ""A"": /   -> +1 to hit rolls for unit / Scope: unit. Duration: permanent."
"agents-of-the-imperium","nuncio-acquila","Nuncio-acquila","","force a battle shock test on enemy within aura / Scope: unit. Duration: one use."
"agents-of-the-imperium","overkill","Overkill","","+3 A for unit / Scope: unit. Duration: turn."
"agents-of-the-imperium","power-of-the-rosette","Power of the Rosette","","gain 1 CP / Scope: unit. Duration: permanent."
"agents-of-the-imperium","psychic-gifts","Psychic Gifts","","self's weapons gain Psyker / Scope: unit. Duration: permanent."
"agents-of-the-imperium","psychic-veil-psychic","Psychic Veil (Psychic)","","If during the shooting phase: /   -> deal d3 mortal wounds to defender / Scope: aura custom (18""). Duration: until next command phase."
"agents-of-the-imperium","psyoculum","Psyoculum","","If attached to a unit: /   -> unit's weapons gain anti-psyker 4+ / Scope: unit. Duration: permanent."
"agents-of-the-imperium","purge-and-cleanse","Purge and Cleanse","","unit gains benefit of cover / Scope: unit. Duration: phase."
"agents-of-the-imperium","rapid-deployment","Rapid Deployment","","unit gains transport disembark modifier / Scope: unit. Duration: permanent."
"agents-of-the-imperium","righteous-smiting","Righteous Smiting","","If during the fight phase and attached to a unit: /   -> +1 to wound rolls for unit / Scope: unit. Duration: permanent."
"agents-of-the-imperium","rites-of-battle","Rites of Battle","","refund 1 CP / Scope: unit. Duration: one use."
"agents-of-the-imperium","rites-of-teleportation","Rites of Teleportation","","If attached to a unit: /   -> self can deep strike / Scope: unit. Duration: permanent."
"agents-of-the-imperium","salvationist-medikit","Salvationist Medikit","paren_plural","return d3 model(s) to unit with full wounds / Scope: unit. Duration: permanent."
"agents-of-the-imperium","scouts-6","Scouts 6""","","unit gains scouts 6"" / Scope: unit. Duration: one use."
"agents-of-the-imperium","scouts-9","Scouts 9""","","unit gains scouts 9"" / Scope: unit. Duration: one use."
"agents-of-the-imperium","self-repair","Self Repair","paren_plural","return 1 model(s) to self with full wounds / Scope: unit. Duration: permanent."
"agents-of-the-imperium","shadow-assignment","Shadow Assignment","","self: unique unit limit / Scope: unit. Duration: permanent."
"agents-of-the-imperium","shieldbreaker","Shieldbreaker","","+1 to wound rolls for unit / Scope: unit. Duration: phase."
"agents-of-the-imperium","simulacrum-imperialis","Simulacrum Imperialis","","+1 Ld for unit / Scope: unit. Duration: battle."
"agents-of-the-imperium","soulguilt-scanner","Soulguilt Scanner","","unit's weapons gain Ignores Cover / Scope: unit. Duration: permanent."
"agents-of-the-imperium","soulless-horror-aura","Soulless Horror (Aura)","","force a battle shock test on enemy within aura / Scope: aura 9. Duration: one use."
"agents-of-the-imperium","spy-network","Spy Network","","gain 1 CP / Scope: unit. Duration: permanent."
"agents-of-the-imperium","stealth","Stealth","","-1 to hit rolls for attacker / Scope: unit. Duration: permanent."
"agents-of-the-imperium","strategic-knowledge","Strategic Knowledge","","If attached to a unit: /   -> unit can fall back and act / Scope: unit. Duration: permanent."
"agents-of-the-imperium","tactical-instinct","Tactical Instinct","","If attached to a unit: /   -> unit's weapons gain Lethal Hits / Scope: unit. Duration: permanent."
"agents-of-the-imperium","that-redeploy-units-roll-off","that redeploy units, roll off","","self gains roll off winner chooses redeploy order / Scope: self. Duration: turn."
"agents-of-the-imperium","the-third-eye-psychic","The Third Eye (Psychic)","","If during the shooting phase: /   -> force a battle shock test on enemy within aura / Scope: aura 12. Duration: permanent."
"agents-of-the-imperium","third-eye-psychic","Third Eye (Psychic)","","If during the shooting phase: /   -> deal 3 mortal wounds to defender / Scope: aura 12. Duration: permanent."
"agents-of-the-imperium","tome-skull","Tome‐skull","","force a battle shock test on enemy within aura / Scope: aura 6. Duration: one use."
"agents-of-the-imperium","unstoppable-champion","Unstoppable Champion","paren_plural","If at end of phase and at once per battle: /   -> Roll D6: on 2+, return 1 model(s) to self with 1 wounds / Scope: self. Duration: battle."
"agents-of-the-imperium","war-hymns","War Hymns","","If attached to a unit: /   -> unit's weapons gain Sustained Hits 1 / Scope: unit. Duration: permanent."
"agents-of-the-imperium","warrant-of-trade","Warrant of Trade","","modify stats for unit / Scope: unit. Duration: permanent."
"agents-of-the-imperium","watch-master","Watch Master","","refund 1 CP / Scope: unit. Duration: one use."
"agents-of-the-imperium","xenos-hunter","Xenos Hunter","","If attached to a unit: /   -> +1 to hit rolls for unit / Scope: unit. Duration: permanent."
"agents-of-the-imperium","zealot","Zealot","","If during the fight phase: /   -> +3 A for unit /   -> +3 S for unit / Scope: unit. Duration: phase."
"astra-militarum","ablative-plating","Ablative Plating","placeholder","reduce incoming damage to self by ? / Scope: unit. Duration: one use."
"astra-militarum","absolutist-principles","Absolutist Principles","","all friendly's weapons gain Abhuman / all friendly gains issue extra order to abhuman unit / Scope: any on battlefield. Duration: battle. / Applies to: units with Astra Militarum."
"astra-militarum","accuracy-under-pressure","Accuracy Under Pressure","","re-roll hit rolls (all failures) for unit / Scope: unit. Duration: phase. / Applies to: units with Astra Militarum."
"astra-militarum","adamantine-behemoth","Adamantine Behemoth","","unit gains move through terrain / Scope: unit. Duration: phase. / Applies to: units with Astra Militarum, Vehicle."
"astra-militarum","aerial-deployment","Aerial Deployment","","If the unit has ""HOVER"" and disposition matches and during the movement phase and in either player's turn or in either player's turn or in either player's turn: /   -> self gains reinforcements step setup /   -> self gains ignore mission reserves restrictions / Scope: self. Duration: turn."
"astra-militarum","airborne-insertion","Airborne Insertion","","self gains special embark rule / Scope: unit. Duration: permanent."
"astra-militarum","alchemyk-counteragents","Alchemyk Counteragents","","unit gains Feel No Pain 6+ / Scope: unit. Duration: permanent."
"astra-militarum","anti-armour-gunship","Anti-armour Gunship","","If during the shooting phase: /   -> re-roll damage rolls (all failures) for unit / Scope: unit. Duration: permanent."
"astra-militarum","armour-obliteration","Armour Obliteration","placeholder","deal ? mortal wounds to enemy within aura / Scope: unit. Duration: permanent."
"astra-militarum","armoured-frontis","Armoured Frontis","placeholder","reduce incoming damage to unit by ? / Scope: unit. Duration: permanent."
"astra-militarum","armoured-spearhead","Armoured Spearhead","","re-roll hit rolls (ones) for unit / Scope: unit. Duration: permanent."
"astra-militarum","artillery-team","ARTILLERY TEAM","","self gains flavor text / Scope: unit. Duration: permanent."
"astra-militarum","assault-hatches","Assault Hatches","","unit gains charge after disembark / Scope: unit. Duration: turn. / Applies to: units with Astra Militarum, Titanic, Character, Transport."
"astra-militarum","auspex-surveyor","Auspex Surveyor","","unit gains benefit of cover / Scope: unit. Duration: phase."
"astra-militarum","battalion-commander","Battalion Commander","","self gains issue orders / Scope: self. Duration: battle. / Applies to: units with Astra Militarum, Titanic, Character."
"astra-militarum","blistering-advance","Blistering Advance","","unit gains transport disembark modifier / Scope: unit. Duration: permanent."
"astra-militarum","bombast-class-vox-array","Bombast-class Vox-array","","self gains issue order to multiple units / Scope: self. Duration: battle. / Applies to: units with Astra Militarum, Militarum Tempestus, Officer."
"astra-militarum","bring-it-down","Bring it Down!","","If during the shooting phase: /   -> re-roll hit rolls (ones) for unit /   -> re-roll wound rolls (ones) for unit / Scope: unit. Duration: permanent."
"astra-militarum","brute-shield","Brute Shield","","self gains a 4+ invulnerable save / Scope: unit. Duration: permanent."
"astra-militarum","burst-of-speed","Burst of Speed","","unit gains normal move D6"" / Scope: unit. Duration: phase. / Applies to: units with Astra Militarum."
"astra-militarum","cadia-stands","Cadia Stands!","","If during the shooting phase: /   -> unit gains benefit of cover / Scope: unit. Duration: permanent."
"astra-militarum","called-shots","Called Shots","","re-roll damage rolls (all failures) for unit / Scope: unit. Duration: permanent."
"astra-militarum","ceaseless-cannonade","Ceaseless Cannonade","","ignore engagement penalty hit rolls (shooting) for all friendly / Scope: any on battlefield. Duration: battle. / Applies to: units with Astra Militarum."
"astra-militarum","close-quarters-warfare","Close-quarters Warfare","","If during the shooting phase: /   -> ignore engagement penalty hit rolls for self / Scope: unit. Duration: permanent."
"astra-militarum","close-range-detection","Close-range Detection","","unit gains detection range modifier / Scope: unit. Duration: phase. / Applies to: units with Astra Militarum Infantry."
"astra-militarum","close-range-titan-killer","Close-range Titan Killer","","If the target has ""MONSTER"" or the target has ""VEHICLE"": /   -> self gains half range consideration / Scope: self. Duration: phase."
"astra-militarum","combined-fire","Combined Fire","","all enemy gains deny benefit of cover / +2 S for all friendly / Scope: unit. Duration: phase. / Applies to: units with Armoured Skirmisher."
"astra-militarum","command-rod","Command Rod","","If the model is leading a unit: /   -> unit gains multiple orders / Scope: unit. Duration: turn."
"astra-militarum","compact","Compact","","self gains special embark rule / Scope: unit. Duration: permanent."
"astra-militarum","concussive-wave","Concussive Wave","","If during the shooting phase: /   -> deal d3 mortal wounds to defender / Scope: aura 6. Duration: permanent."
"astra-militarum","covering-fire","Covering Fire","","-4 to hit rolls (overwatch) for unit / Scope: aura 6. Duration: permanent."
"astra-militarum","covert-stealth-team","Covert Stealth Team","","If at end of turn and in either player's turn and not (engagement state): /   -> unit can deep strike / Scope: self. Duration: turn."
"astra-militarum","daring-recon","Daring Recon","","If during the shooting phase: /   -> re-roll hit rolls (ones) for unit / Scope: aura custom (18""). Duration: phase."
"astra-militarum","deadly-demise-1","Deadly Demise 1","","Roll D6: on 6+, deal 1 mortal wounds to enemy within aura (within 6"") / Scope: aura 6. Duration: one use."
"astra-militarum","deadly-demise-d3","Deadly Demise D3","","Roll D6: on 6+, deal D3 mortal wounds to enemy within aura (within 6"") / Scope: aura 6. Duration: one use."
"astra-militarum","deadly-demise-d6","Deadly Demise D6","","Roll D6: on 6+, deal D6 mortal wounds to enemy within aura (within 6"") / Scope: aura 6. Duration: one use."
"astra-militarum","deadly-demise-d6-2","Deadly Demise D6+2","","Roll D6: on 6+, deal D6+2 mortal wounds to enemy within aura (within 6"") / Scope: aura 6. Duration: one use."
"astra-militarum","death-befitting-an-officer","Death Befitting An Officer","","Roll D6: on 2+, self shoots on death / Scope: self. Duration: phase."
"astra-militarum","death-korps-medi-pack","Death Korps Medi-pack","paren_plural","If the unit is below starting strength: /   -> return d3 model(s) to unit with full wounds / Scope: unit. Duration: permanent."
"astra-militarum","deathstrike-missile","Deathstrike Missile","","If during the shooting phase and at first this battle: /   -> Choose one (target-action): /     1. self gains designate target marker /     2. self gains adjust target marker / Scope: self. Duration: battle."
"astra-militarum","deep-strike","Deep Strike","","unit can deep strike / Scope: unit. Duration: permanent."
"astra-militarum","defence-line","Defence Line","","unit gains benefit of cover / Scope: unit. Duration: permanent."
"astra-militarum","defence-searchlight","Defence Searchlight","","If during the shooting phase: /   -> unit gains benefit of cover / Scope: aura custom (24""). Duration: phase."
"astra-militarum","demolition-charges","Demolition Charges","","deal d3 mortal wounds to defender / Scope: aura 6. Duration: permanent."
"astra-militarum","demolition-gear","Demolition Gear","","unit's weapons gain GRENADES / Scope: unit. Duration: permanent."
"astra-militarum","deployment","Deployment","","self gains defence line section assembly / Scope: self. Duration: permanent."
"astra-militarum","desert-riders","Desert Riders","","unit can fall back and act / Scope: unit. Duration: permanent."
"astra-militarum","designated-targets","Designated Targets","","all friendly gains designate enemy detection range modifier / Scope: any on battlefield. Duration: battle. / Applies to: units with Astra Militarum."
"astra-militarum","earthshaker-rounds","Earthshaker Rounds","","If during the shooting phase and the target has ""INFANTRY"" and for ranged attacks: /   -> defender gains shaken status /   -> defender gains move -2"" /   -> -2 to charge rolls for defender / Scope: self. Duration: turn."
"astra-militarum","embarking","Embarking","","self gains special embark rule / Scope: unit. Duration: permanent."
"astra-militarum","emplacement-platform","Emplacement Platform","","If the unit has ""ASTRA MILITARUM"" and the unit has ""INFANTRY"": /   -> friendly within aura gains platform setup and move override / Scope: self. Duration: battle."
"astra-militarum","engine-of-wrath","Engine of Wrath","","+6 A (melee) for unit / +2 AP (melee) for unit / Scope: unit. Duration: phase. / Applies to: units with Astra Militarum, Titanic."
"astra-militarum","engine-speaker","Engine Speaker","","+3 M for unit / Scope: unit. Duration: until next command phase. / Applies to: units with Astra Militarum, Tech-Priest Enginseer."
"astra-militarum","enginseer","Enginseer","","If attached to a unit: /   -> self gains lone operative / Scope: aura 6. Duration: permanent."
"astra-militarum","exemplar-of-duty","Exemplar of Duty","","unit gains Feel No Pain 4+ / Scope: unit. Duration: permanent. / Applies to: units with Commissar."
"astra-militarum","exemplary-officer","Exemplary Officer","","self gains issue order to extra platoon units / Scope: self. Duration: battle. / Applies to: units with Astra Militarum, Officer, Infantry."
"astra-militarum","feel-no-pain-5","Feel No Pain 5+","","unit gains Feel No Pain 5+ / Scope: unit. Duration: permanent."
"astra-militarum","feel-no-pain-6","Feel No Pain 6+","","unit gains Feel No Pain 6+ / Scope: unit. Duration: permanent."
"astra-militarum","fiery-vengeance","Fiery Vengeance","","If during the shooting phase: /   -> unit gains once per round special / Scope: aura 6. Duration: permanent."
"astra-militarum","fights-first","Fights First","","If during the fight phase and the unit has ""FIGHTS FIRST"": /   -> unit fights first / Scope: unit. Duration: phase."
"astra-militarum","final-duty","Final Duty","","self shoots on death / Scope: unit. Duration: permanent."
"astra-militarum","fire-support","Fire Support","","If during the shooting phase: /   -> re-roll wound rolls (all failures) for unit / Scope: unit. Duration: phase."
